OTU,Sample,Abundance,Site_Collected,dates,Phylum
Proteobacteria,EM2004,0.31976385,Borehole 2,2017-10-24,Proteobacteria
Firmicutes,EM2004,0.003226471,Borehole 2,2017-10-24,Firmicutes
Nanoarchaeota,EM2004,0.011052379,Borehole 2,2017-10-24,Nanoarchaeota
Actinobacteriota,EM2004,0.127136679,Borehole 2,2017-10-24,Actinobacteriota
Acidobacteriota,EM2004,0.09288117,Borehole 2,2017-10-24,Acidobacteriota
Bacteroidota,EM2004,0.082789868,Borehole 2,2017-10-24,Bacteroidota
Other,EM2004,0.374201963,Borehole 2,2017-10-24,Other
Proteobacteria,EM2005,0.368145668,Borehole 2,2018-10-10,Proteobacteria
Firmicutes,EM2005,0,Borehole 2,2018-10-10,Firmicutes
Nanoarchaeota,EM2005,0.004918376,Borehole 2,2018-10-10,Nanoarchaeota
Actinobacteriota,EM2005,0.151004604,Borehole 2,2018-10-10,Actinobacteriota
Acidobacteriota,EM2005,0.076496442,Borehole 2,2018-10-10,Acidobacteriota
Bacteroidota,EM2005,0.098681457,Borehole 2,2018-10-10,Bacteroidota
Other,EM2005,0.292486396,Borehole 2,2018-10-10,Other
Proteobacteria,EM2008,0.394436395,Borehole 2,2018-11-16,Proteobacteria
Firmicutes,EM2008,0.00260794,Borehole 2,2018-11-16,Firmicutes
Nanoarchaeota,EM2008,0.006085193,Borehole 2,2018-11-16,Nanoarchaeota
Actinobacteriota,EM2008,0.133236743,Borehole 2,2018-11-16,Actinobacteriota
Acidobacteriota,EM2008,0.101825558,Borehole 2,2018-11-16,Acidobacteriota
Bacteroidota,EM2008,0.06913938,Borehole 2,2018-11-16,Bacteroidota
Other,EM2008,0.292668792,Borehole 2,2018-11-16,Other
Proteobacteria,EM2010,0.386406844,Borehole 2,2019-07-08,Proteobacteria
Firmicutes,EM2010,0.148209759,Borehole 2,2019-07-08,Firmicutes
Nanoarchaeota,EM2010,0.008634347,Borehole 2,2019-07-08,Nanoarchaeota
Actinobacteriota,EM2010,0.05663815,Borehole 2,2019-07-08,Actinobacteriota
Acidobacteriota,EM2010,0.042458809,Borehole 2,2019-07-08,Acidobacteriota
Bacteroidota,EM2010,0.105830165,Borehole 2,2019-07-08,Bacteroidota
Other,EM2010,0.251821926,Borehole 2,2019-07-08,Other
Proteobacteria,EM2012,0.170481674,Borehole 2,2020-06-24,Proteobacteria
Firmicutes,EM2012,0.196812245,Borehole 2,2020-06-24,Firmicutes
Nanoarchaeota,EM2012,0.157351496,Borehole 2,2020-06-24,Nanoarchaeota
Actinobacteriota,EM2012,0.059542199,Borehole 2,2020-06-24,Actinobacteriota
Acidobacteriota,EM2012,0.028226373,Borehole 2,2020-06-24,Acidobacteriota
Bacteroidota,EM2012,0.089032439,Borehole 2,2020-06-24,Bacteroidota
Other,EM2012,0.298553574,Borehole 2,2020-06-24,Other
