Sample,Borehole,d_18O,d_2H
EM2001_A,Borehole 2,-16.90211475,-120.3327582
EM2001_B,Borehole 2,-16.8959698,-120.5486736
EM2001_C,Borehole 2,-16.8894284,-120.4850182
EM2001_D,Borehole 2,-16.80320087,-119.0099846
EM2002_A,Borehole 2,-16.98338667,-120.3943151
EM2002_B,Borehole 2,-16.83214161,-119.8106905
EM2002_C,Borehole 2,-16.85553206,-119.741439
EM2002_D,Borehole 2,-16.83927768,-119.859423
EM2003_A,Borehole 2,-16.92332474,-120.5869135
EM2003_B,Borehole 2,-16.90786325,-120.4759246
EM2003_C,Borehole 2,-16.87555271,-120.4143677
EM2003_D,Borehole 2,-16.85612673,-120.2947515
EM2009_A,Borehole 2,-17.01787768,-120.4269589
EM2009_B,Borehole 2,-16.91004372,-120.3954809
EM2009_C,Borehole 2,-16.9082597,-120.1902913
EM2009_D,Borehole 2,-16.8779314,-120.1471548
EM2010_A,Borehole 2,-16.93720043,-119.4429813
EM2010_B,Borehole 2,-16.86128056,-119.6810479
EM2010_C,Borehole 2,-16.79229854,-119.6388442
EM2010_D,Borehole 2,-16.77485481,-119.0193114
EM2011_A,Borehole 2,-17.02441908,-121.5244902
EM2011_B,Borehole 2,-17.00717357,-121.2498159
EM2011_C,Borehole 2,-16.97407013,-121.1922229
EM2011_D,Borehole 2,-16.84125992,-120.3852992
EM3004_A,Borehole 3,-16.75067146,-119.4299238
EM3004_B,Borehole 3,-16.70468345,-118.8987625
EM3004_C,Borehole 3,-16.67931075,-118.9120532
EM3004_D,Borehole 3,-16.60894116,-118.8544602
EM3005_A,Borehole 3,-17.00420021,-120.9058901
EM3005_B,Borehole 3,-17.00023573,-120.669922
EM3005_C,Borehole 3,-16.98378312,-120.9320052
EM3005_D,Borehole 3,-16.91559399,-120.7156234
EM8003_A,Borehole 8,-16.70230476,-119.9643495
EM8003_B,Borehole 8,-16.69972784,-119.9536237
EM8003_C,Borehole 8,-16.68129299,-119.9277418
EM8003_D,Borehole 8,-16.68030187,-119.9125858
